post_id,title,category,score,num_comments,author,collected_at
47675013,Dropping Cloudflare for Bunny.net,technology,382.0,194.0,shintoist,2026-04-08 12:16:57
47627217,Running out of disk space in production,science,184.0,94.0,romes,2026-04-08 12:16:37
47680309,Show HN: Gemma 4 Multimodal Fine-Tuner for Apple Silicon,entertainment,159.0,22.0,MediaSquirrel,2026-04-08 12:16:31
47637377,LÖVE: 2D Game Framework for Lua,sports,413.0,215.0,cl3misch,2026-04-08 12:18:52
47673005,We found an undocumented bug in the Apollo 11 guidance computer code,technology,407.0,192.0,henrygarner,2026-04-08 12:17:10
47676044,Show HN: Finalrun – Spec-driven testing using English and vision for mobile apps,entertainment,25.0,12.0,ashish004,2026-04-08 12:17:22
47677853,GLM-5.1: Towards Long-Horizon Tasks,worldnews,491.0,199.0,zixuanlimit,2026-04-08 12:16:18
47681112,Show HN: An interactive map of Tolkien's Middle-earth,entertainment,168.0,33.0,frasermarlow,2026-04-08 12:16:22
47651764,How Close Is Too Close? Applying Fluid Dynamics Research Methods to PC Cooling,science,3.0,1.0,LabsLucas,2026-04-08 12:25:23
missing_id_7,,science,,,,
47674606,Show HN: Unicode Steganography,technology,23.0,4.0,PatrickVuscan,2026-04-08 12:16:54
47672642,Iran threatens OpenAI's Stargate data center in Abu Dhabi,technology,65.0,1.0,marksully,2026-04-08 12:18:56
47656659,Media scraper Gallery-dl is moving to Codeberg after receiving a DMCA notice,technology,198.0,58.0,MoltenMonster,2026-04-08 12:20:30
47676521,Claude Code login fails with OAuth timeout on Windows,technology,219.0,294.0,sh1mmer,2026-04-08 12:18:36
,,science,,,,
47641615,Sopwith – 1984 Game (2000),sports,99.0,42.0,elvis70,2026-04-08 12:23:00
47673880,Show HN: Pion/handoff – Move WebRTC out of browser and into Go,entertainment,93.0,17.0,Sean-Der,2026-04-08 12:17:21
47673360,Show HN: Brutalist Concrete Laptop Stand (2024),entertainment,747.0,228.0,sam-bee,2026-04-08 12:16:26
47661065,"The team behind a pro-Iran, Lego-themed viral-video campaign",sports,160.0,257.0,tantalor,2026-04-08 12:17:40
47680862,Iran attempting cyberattacks against U.S. critical infrastructure,worldnews,6.0,0.0,elsewhen,2026-04-08 12:19:57
47683171,Show HN: Can an AI model fit on a single pixel?,entertainment,5.0,3.0,deevelton,2026-04-08 12:17:30
47660954,German police name alleged leaders of GandCrab and REvil ransomware groups,worldnews,318.0,157.0,Bender,2026-04-08 12:17:53
missing_id_11,,technology,,,,
47677853,GLM-5.1: Towards Long-Horizon Tasks,worldnews,491.0,199.0,zixuanlimit,2026-04-08 12:16:18
,,sports,,,,
47677548,China restricts airspace for 40 days in signal of intense military activity,science,9.0,3.0,petethomas,2026-04-08 12:25:24
47622616,The Technocracy Movement of the 1930s,technology,171.0,137.0,lazydogbrownfox,2026-04-08 12:21:03
47647788,The threat is comfortable drift toward not understanding what you're doing,worldnews,970.0,616.0,zaikunzhang,2026-04-08 12:19:10
47672190,Ray – OpenSubtitles upcoming auto translating/subtitling video player,sports,3.0,0.0,nolok,2026-04-08 12:20:12
47633855,Claude Code Found a Linux Vulnerability Hidden for 23 Years,technology,425.0,268.0,eichin,2026-04-08 12:20:04
47682341,"Author's preface to the book: ""PGP Source Code and Internals"" (1995)",technology,4.0,0.0,ipnon,2026-04-08 12:17:45
47629485,A case study in testing with 100+ Claude agents in parallel,science,66.0,54.0,thejash,2026-04-08 12:20:54
