post_id,title,category,score,num_comments,author,collected_at,engagement,popular
47624572,A database of analog cameras that can be 3D printed,technology,86,10,thomasjb,2026-04-08 12:16:25,0.11494252873563218,False
47675013,Dropping Cloudflare for Bunny.net,technology,382,194,shintoist,2026-04-08 12:16:57,0.5065274151436031,True
47627217,Running out of disk space in production,science,184,94,romes,2026-04-08 12:16:37,0.5081081081081081,False
47680309,Show HN: Gemma 4 Multimodal Fine-Tuner for Apple Silicon,entertainment,159,22,MediaSquirrel,2026-04-08 12:16:31,0.1375,False
47673005,We found an undocumented bug in the Apollo 11 guidance computer code,technology,407,192,henrygarner,2026-04-08 12:17:10,0.47058823529411764,True
47676044,Show HN: Finalrun – Spec-driven testing using English and vision for mobile apps,entertainment,25,12,ashish004,2026-04-08 12:17:22,0.46153846153846156,False
47677853,GLM-5.1: Towards Long-Horizon Tasks,worldnews,491,199,zixuanlimit,2026-04-08 12:16:18,0.40447154471544716,True
47672642,Iran threatens OpenAI's Stargate data center in Abu Dhabi,technology,65,1,marksully,2026-04-08 12:18:56,0.015151515151515152,False
47656659,Media scraper Gallery-dl is moving to Codeberg after receiving a DMCA notice,technology,198,58,MoltenMonster,2026-04-08 12:20:30,0.2914572864321608,False
47676521,Claude Code login fails with OAuth timeout on Windows,technology,219,294,sh1mmer,2026-04-08 12:18:36,1.3363636363636364,True
47673880,Show HN: Pion/handoff – Move WebRTC out of browser and into Go,entertainment,93,17,Sean-Der,2026-04-08 12:17:21,0.18085106382978725,False
47673360,Show HN: Brutalist Concrete Laptop Stand (2024),entertainment,747,228,sam-bee,2026-04-08 12:16:26,0.3048128342245989,True
47661065,"The team behind a pro-Iran, Lego-themed viral-video campaign",sports,160,257,tantalor,2026-04-08 12:17:40,1.5962732919254659,False
47680862,Iran attempting cyberattacks against U.S. critical infrastructure,worldnews,6,0,elsewhen,2026-04-08 12:19:57,0.0,False
47660954,German police name alleged leaders of GandCrab and REvil ransomware groups,worldnews,318,157,Bender,2026-04-08 12:17:53,0.49216300940438873,True
47677548,China restricts airspace for 40 days in signal of intense military activity,science,9,3,petethomas,2026-04-08 12:25:24,0.3,False
47622616,The Technocracy Movement of the 1930s,technology,171,137,lazydogbrownfox,2026-04-08 12:21:03,0.7965116279069767,False
47647788,The threat is comfortable drift toward not understanding what you're doing,worldnews,970,616,zaikunzhang,2026-04-08 12:19:10,0.6343975283213182,True
47633855,Claude Code Found a Linux Vulnerability Hidden for 23 Years,technology,425,268,eichin,2026-04-08 12:20:04,0.6291079812206573,True
47629485,A case study in testing with 100+ Claude agents in parallel,science,66,54,thejash,2026-04-08 12:20:54,0.8059701492537313,False
